step,t,gfr_proxy,FGF23,PTH,serum_phos_proxy,psi,constraint_state
246,12.3,5.0,2.89,93.044,1.356,100.2115,P-EXCESS
247,12.35,4.9,2.891,94.548,1.357,101.3654,P-EXCESS
248,12.4,4.8,2.893,96.069,1.357,102.5186,P-EXCESS
249,12.45,4.7,2.895,97.608,1.358,103.6711,P-EXCESS
250,12.5,4.7,2.896,99.163,1.358,104.8228,P-EXCESS
251,12.55,4.6,2.898,100.736,1.359,105.9738,P-EXCESS
252,12.6,4.5,2.899,102.327,1.36,107.1241,P-EXCESS
253,12.65,4.5,2.901,103.934,1.36,108.2737,P-EXCESS
254,12.7,4.4,2.902,105.559,1.361,109.4224,P-EXCESS
255,12.75,4.3,2.904,107.201,1.361,110.5703,P-EXCESS
256,12.8,4.3,2.905,108.861,1.362,111.7175,P-EXCESS
257,12.85,4.2,2.906,110.537,1.363,112.8638,P-EXCESS
258,12.9,4.1,2.908,112.231,1.363,114.0093,P-EXCESS
259,12.95,4.1,2.909,113.941,1.364,115.1539,P-EXCESS
260,13.0,4.0,2.91,115.669,1.364,116.2977,P-EXCESS
261,13.05,4.0,2.912,117.415,1.365,117.4407,P-EXCESS
262,13.1,3.9,2.913,119.177,1.365,118.5827,P-EXCESS
263,13.15,3.9,2.914,120.956,1.366,119.7239,P-EXCESS
264,13.2,3.8,2.915,122.753,1.366,120.8641,P-EXCESS
265,13.25,3.8,2.917,124.566,1.367,122.0035,P-EXCESS
266,13.3,3.7,2.918,126.397,1.367,123.142,P-EXCESS
267,13.35,3.6,2.919,128.244,1.368,124.2795,P-EXCESS
268,13.4,3.6,2.92,130.109,1.368,125.4161,P-EXCESS
269,13.45,3.6,2.921,131.991,1.368,126.5518,P-EXCESS
270,13.5,3.5,2.922,133.89,1.369,127.6865,P-EXCESS
271,13.55,3.5,2.923,135.806,1.369,128.8203,P-EXCESS
272,13.6,3.4,2.924,137.738,1.37,129.9531,P-EXCESS
273,13.65,3.4,2.925,139.688,1.37,131.0849,P-EXCESS
274,13.7,3.3,2.926,141.655,1.371,132.2158,P-EXCESS
275,13.75,3.3,2.927,143.639,1.371,133.3457,P-EXCESS
276,13.8,3.2,2.928,145.639,1.371,134.4747,P-EXCESS
277,13.85,3.2,2.929,147.657,1.372,135.6026,P-EXCESS
278,13.9,3.1,2.93,149.691,1.372,136.7296,P-EXCESS
279,13.95,3.1,2.931,151.743,1.372,137.8556,P-EXCESS
280,14.0,3.1,2.932,153.811,1.373,138.9806,P-EXCESS
281,14.05,3.0,2.933,155.896,1.373,140.1046,P-EXCESS
282,14.1,3.0,2.934,157.998,1.373,141.2276,P-EXCESS
283,14.15,2.9,2.935,160.116,1.374,142.3495,P-EXCESS
284,14.2,2.9,2.935,162.252,1.374,143.4705,P-EXCESS
285,14.25,2.9,2.936,164.404,1.374,144.5905,P-EXCESS
286,14.3,2.8,2.937,166.574,1.375,145.7094,P-EXCESS
287,14.35,2.8,2.938,168.759,1.375,146.8273,P-EXCESS
288,14.4,2.8,2.939,170.962,1.375,147.9442,P-EXCESS
289,14.45,2.7,2.939,173.182,1.376,149.0601,P-EXCESS
290,14.5,2.7,2.94,175.418,1.376,150.175,P-EXCESS
291,14.55,2.7,2.941,177.67,1.376,151.2888,P-EXCESS
292,14.6,2.6,2.942,179.94,1.377,152.4016,P-EXCESS
293,14.65,2.6,2.942,182.226,1.377,153.5134,P-EXCESS
294,14.7,2.6,2.943,184.529,1.377,154.6242,P-EXCESS
295,14.75,2.5,2.944,186.849,1.377,155.7339,P-EXCESS
296,14.8,2.5,2.944,189.185,1.378,156.8426,P-EXCESS
297,14.85,2.5,2.945,191.537,1.378,157.9502,P-EXCESS
298,14.9,2.4,2.946,193.907,1.378,159.0569,P-EXCESS
299,14.95,2.4,2.946,196.293,1.378,160.1624,P-EXCESS
300,15.0,2.4,2.947,198.695,1.379,161.267,P-EXCESS
301,15.05,2.4,2.947,201.114,1.379,162.3705,P-EXCESS
302,15.1,2.3,2.948,203.55,1.379,163.473,P-EXCESS
303,15.15,2.3,2.949,206.002,1.379,164.5744,P-EXCESS
304,15.2,2.3,2.949,208.471,1.38,165.6748,P-EXCESS
305,15.25,2.3,2.95,210.956,1.38,166.7741,P-EXCESS
306,15.3,2.2,2.95,213.457,1.38,167.8725,P-EXCESS
307,15.35,2.2,2.951,215.975,1.38,168.9697,P-EXCESS
308,15.4,2.2,2.952,218.51,1.381,170.066,P-EXCESS
309,15.45,2.2,2.952,221.061,1.381,171.1612,P-EXCESS
310,15.5,2.1,2.953,223.628,1.381,172.2553,P-EXCESS
311,15.55,2.1,2.953,226.212,1.381,173.3484,P-EXCESS
312,15.6,2.1,2.954,228.812,1.381,174.4405,P-EXCESS
313,15.65,2.1,2.954,231.428,1.382,175.5316,P-EXCESS
314,15.7,2.0,2.955,234.061,1.382,176.6216,P-EXCESS
315,15.75,2.0,2.955,236.71,1.382,177.7105,P-EXCESS
316,15.8,2.0,2.956,239.376,1.382,178.7985,P-EXCESS
317,15.85,2.0,2.956,242.058,1.382,179.8853,P-EXCESS
318,15.9,2.0,2.957,244.756,1.383,180.9712,P-EXCESS
319,15.95,1.9,2.957,247.47,1.383,182.056,P-EXCESS
320,16.0,1.9,2.957,250.201,1.383,183.1398,P-EXCESS
321,16.05,1.9,2.958,252.948,1.383,184.2225,P-EXCESS
322,16.1,1.9,2.958,255.711,1.383,185.3043,P-EXCESS
323,16.15,1.9,2.959,258.49,1.384,186.3849,P-EXCESS
324,16.2,1.8,2.959,261.285,1.384,187.4646,P-EXCESS
325,16.25,1.8,2.96,264.097,1.384,188.5432,P-EXCESS
326,16.3,1.8,2.96,266.925,1.384,189.6208,P-EXCESS
327,16.35,1.8,2.96,269.769,1.384,190.6973,P-EXCESS
328,16.4,1.8,2.961,272.629,1.384,191.7728,P-EXCESS
329,16.45,1.7,2.961,275.505,1.385,192.8473,P-EXCESS
330,16.5,1.7,2.962,278.397,1.385,193.9208,P-EXCESS
331,16.55,1.7,2.962,281.306,1.385,194.9933,P-EXCESS
332,16.6,1.7,2.962,284.23,1.385,196.0647,P-EXCESS
333,16.65,1.7,2.963,287.171,1.385,197.1351,P-EXCESS
334,16.7,1.7,2.963,290.127,1.385,198.2044,P-EXCESS
335,16.75,1.6,2.964,293.1,1.385,199.2728,P-EXCESS
336,16.8,1.6,2.964,296.089,1.386,200.3401,P-EXCESS
337,16.85,1.6,2.964,299.093,1.386,201.4064,P-EXCESS
338,16.9,1.6,2.965,302.114,1.386,202.4717,P-EXCESS
339,16.95,1.6,2.965,305.15,1.386,203.536,P-EXCESS
340,17.0,1.6,2.965,308.203,1.386,204.5992,P-EXCESS
341,17.05,1.5,2.966,311.271,1.386,205.6615,P-EXCESS
342,17.1,1.5,2.966,314.355,1.386,206.7227,P-EXCESS
343,17.15,1.5,2.966,317.456,1.386,207.7829,P-EXCESS
344,17.2,1.5,2.967,320.572,1.387,208.8421,P-EXCESS
345,17.25,1.5,2.967,323.704,1.387,209.9003,P-EXCESS
346,17.3,1.5,2.967,326.852,1.387,210.9574,P-EXCESS
347,17.35,1.5,2.967,330.015,1.387,212.0136,P-EXCESS
348,17.4,1.5,2.968,333.195,1.387,213.0688,P-EXCESS
349,17.45,1.4,2.968,336.39,1.387,214.1229,P-EXCESS
350,17.5,1.4,2.968,339.601,1.387,215.1761,P-EXCESS
351,17.55,1.4,2.969,342.828,1.387,216.2283,P-EXCESS
352,17.6,1.4,2.969,346.071,1.388,217.2794,P-EXCESS
