step,phase,C_renal,psi
441,inter-session,6.5598,29.4695
442,inter-session,6.5728,29.9527
443,inter-session,6.5855,30.4487
444,inter-session,6.5977,30.9578
445,inter-session,6.6096,31.4803
446,inter-session,6.6211,32.0168
447,inter-session,6.6323,32.5677
448,inter-session,6.6432,33.1332
449,inter-session,6.6537,33.714
450,inter-session,6.664,34.3105
451,inter-session,6.6739,34.9231
452,inter-session,6.6835,35.5524
453,inter-session,6.6929,36.1989
454,inter-session,6.702,36.8632
455,inter-session,6.7108,37.5458
456,inter-session,6.7193,38.2473
457,inter-session,6.7276,38.9684
458,inter-session,6.7357,39.7097
459,inter-session,6.7435,40.472
460,inter-session,6.7511,41.2558
461,inter-session,6.7584,42.0619
462,inter-session,6.7656,42.8912
463,inter-session,6.7725,43.7444
464,inter-session,6.7792,44.6224
465,inter-session,6.7857,45.5261
466,inter-session,6.7921,46.4563
467,inter-session,6.7982,47.414
468,inter-session,6.8042,48.4003
469,inter-session,6.81,49.4161
470,inter-session,6.8156,50.4626
471,inter-session,6.821,51.541
472,inter-session,6.8263,52.6523
473,inter-session,6.8315,53.798
474,inter-session,6.8364,54.9792
475,inter-session,6.8413,56.1975
476,inter-session,6.846,57.4541
477,inter-session,6.8505,58.7507
478,inter-session,6.8549,60.0889
479,inter-session,6.8592,61.4702
480,intra-session,5.0,86.3364
481,intra-session,4.95,89.866
482,intra-session,4.9,93.6018
483,intra-session,4.85,97.5596
484,intra-session,4.8,101.7564
485,intra-session,4.75,106.2108
486,intra-session,4.7,110.9435
487,intra-session,4.65,115.9767
488,intra-session,4.6,121.3103
489,intra-session,4.55,126.962
490,intra-session,4.5,132.9553
491,intra-session,4.45,139.3161
492,intra-session,4.4,146.0724
493,intra-session,4.35,153.2545
494,intra-session,4.3,160.8959
495,intra-session,4.25,169.0328
496,intra-session,4.2,177.7052
497,intra-session,4.15,186.9565
498,intra-session,4.1,196.8345
499,intra-session,4.05,207.3918
500,intra-session,4.0,218.6857
501,intra-session,3.95,230.6603
502,intra-session,3.9,243.07
503,intra-session,3.85,255.932
504,intra-session,3.8,269.264
505,intra-session,3.75,283.0849
506,intra-session,3.7,297.4144
507,intra-session,3.65,312.2735
508,intra-session,3.6,327.6843
509,intra-session,3.55,343.67
510,intra-session,3.5,360.2553
511,intra-session,3.45,377.4662
512,intra-session,3.4,395.3305
513,intra-session,3.35,413.8772
514,intra-session,3.3,433.1375
515,intra-session,3.25,453.1442
516,intra-session,3.2,473.9324
517,intra-session,3.15,495.5393
518,intra-session,3.1,518.0045
519,intra-session,3.05,541.3701
520,intra-session,3.0,565.6813
521,intra-session,2.95,590.9861
522,intra-session,2.9,617.3359
523,intra-session,2.85,644.7856
524,intra-session,2.8,673.3943
525,intra-session,2.75,703.2252
526,intra-session,2.7,734.346
527,intra-session,2.65,766.8299
528,intra-session,2.6,800.7555
529,intra-session,2.55,836.2076
530,intra-session,2.5,873.2778
531,intra-session,2.45,912.0651
532,intra-session,2.4,952.6769
533,intra-session,2.35,995.2296
534,intra-session,2.3,1039.8498
535,intra-session,2.25,1086.6754
536,intra-session,2.2,1135.8567
537,intra-session,2.15,1187.558
538,intra-session,2.1,1241.9594
539,intra-session,2.05,1299.2585
540,inter-session,2.0,1359.6725
541,inter-session,2.1478,1292.3669
542,inter-session,2.2912,1236.2967
543,inter-session,2.4303,1189.1074
544,inter-session,2.5654,1149.0635
545,inter-session,2.6965,1114.858
546,inter-session,2.8236,1085.4873
547,inter-session,2.9471,1060.1686
548,inter-session,3.0669,1038.2817
549,inter-session,3.1831,1019.3295
550,inter-session,3.2959,1002.9086
551,inter-session,3.4054,988.6882
552,inter-session,3.5116,976.3947
553,inter-session,3.6147,965.7995
554,inter-session,3.7148,956.7105
555,inter-session,3.8119,948.9649
556,inter-session,3.9061,942.4238
557,inter-session,3.9975,936.9681
558,inter-session,4.0863,932.495
559,inter-session,4.1724,928.9153
560,inter-session,4.2559,926.1513
561,inter-session,4.337,924.1349
562,inter-session,4.4157,922.8063
563,inter-session,4.4921,922.1128
564,inter-session,4.5662,922.0074
565,inter-session,4.6382,922.4486
566,inter-session,4.708,923.3993
567,inter-session,4.7757,924.8262
568,inter-session,4.8414,926.6994
569,inter-session,4.9052,928.9921
570,inter-session,4.9672,931.6801
571,inter-session,5.0272,934.7414
572,inter-session,5.0855,938.1561
573,inter-session,5.1421,941.9062
574,inter-session,5.197,945.9751
575,inter-session,5.2503,950.3478
576,inter-session,5.302,955.0104
577,inter-session,5.3522,959.9504
578,inter-session,5.4009,965.1562
579,inter-session,5.4482,970.617
580,inter-session,5.494,976.323
581,inter-session,5.5385,982.2651
582,inter-session,5.5817,988.435
583,inter-session,5.6236,994.8247
584,inter-session,5.6643,1001.4271
585,inter-session,5.7038,1008.2355
586,inter-session,5.7421,1015.2435
587,inter-session,5.7793,1022.4454
588,inter-session,5.8154,1029.8358
589,inter-session,5.8504,1037.4095
590,inter-session,5.8843,1045.1619
591,inter-session,5.9173,1053.0883
592,inter-session,5.9493,1061.1848
593,inter-session,5.9804,1069.4473
594,inter-session,6.0105,1077.8721
595,inter-session,6.0398,1086.4559
596,inter-session,6.0681,1095.1953
597,inter-session,6.0957,1104.0872
598,inter-session,6.1224,1113.1288
599,inter-session,6.1483,1122.3173
600,inter-session,6.1735,1131.65
601,inter-session,6.1979,1141.1246
602,inter-session,6.2216,1150.7386
603,inter-session,6.2446,1160.4899
604,inter-session,6.267,1170.3764
605,inter-session,6.2886,1180.396
606,inter-session,6.3097,1190.5468
607,inter-session,6.3301,1200.827
608,inter-session,6.3499,1211.235
609,inter-session,6.3691,1221.7689
610,inter-session,6.3877,1232.4274
611,inter-session,6.4058,1243.2087
612,inter-session,6.4234,1254.1116
613,inter-session,6.4404,1265.1346
614,inter-session,6.457,1276.2764
615,inter-session,6.473,1287.5357
616,inter-session,6.4886,1298.9113
617,inter-session,6.5037,1310.402
618,inter-session,6.5184,1322.0068
619,inter-session,6.5326,1333.7245
620,inter-session,6.5464,1345.554
621,inter-session,6.5598,1357.4945
622,inter-session,6.5728,1369.5448
623,inter-session,6.5855,1381.7042
624,inter-session,6.5977,1393.9716
625,inter-session,6.6096,1406.3462
626,inter-session,6.6211,1418.8272
627,inter-session,6.6323,1431.4137
628,inter-session,6.6432,1444.105
629,inter-session,6.6537,1456.9003
630,inter-session,6.664,1469.7989
631,inter-session,6.6739,1482.8
632,inter-session,6.6835,1495.903
633,inter-session,6.6929,1509.1072
