step,t,phi_cardiac,c_cardiac,c_renal,psi,regime
254,12.7,1.969,0.5575,0.4129,10000.0,overload
255,12.75,1.9688,0.5577,0.4126,10000.0,overload
256,12.8,1.9686,0.5579,0.4123,10000.0,overload
257,12.85,1.9684,0.5581,0.412,10000.0,overload
258,12.9,1.9682,0.5583,0.4117,10000.0,overload
259,12.95,1.968,0.5585,0.4114,10000.0,overload
260,13.0,1.9678,0.5586,0.4111,10000.0,overload
261,13.05,1.9676,0.5588,0.4108,10000.0,overload
262,13.1,1.9674,0.559,0.4105,10000.0,overload
263,13.15,1.9672,0.5592,0.4102,10000.0,overload
264,13.2,1.967,0.5594,0.4098,10000.0,overload
265,13.25,1.9668,0.5596,0.4095,10000.0,overload
266,13.3,1.9666,0.5598,0.4092,10000.0,overload
267,13.35,1.9664,0.56,0.4089,10000.0,overload
268,13.4,1.9662,0.5601,0.4086,10000.0,overload
269,13.45,1.966,0.5603,0.4083,10000.0,overload
270,13.5,1.9658,0.5605,0.408,10000.0,overload
271,13.55,1.9656,0.5607,0.4077,10000.0,overload
272,13.6,1.9654,0.5609,0.4074,10000.0,overload
273,13.65,1.9652,0.5611,0.4071,10000.0,overload
274,13.7,1.965,0.5613,0.4068,10000.0,overload
275,13.75,1.9648,0.5614,0.4065,10000.0,overload
276,13.8,1.9646,0.5616,0.4062,10000.0,overload
277,13.85,1.9644,0.5618,0.4059,10000.0,overload
278,13.9,1.9642,0.562,0.4056,10000.0,overload
279,13.95,1.964,0.5622,0.4053,10000.0,overload
280,14.0,1.9638,0.5624,0.405,10000.0,overload
281,14.05,1.9636,0.5625,0.4047,10000.0,overload
282,14.1,1.9634,0.5627,0.4043,10000.0,overload
283,14.15,1.9632,0.5629,0.404,10000.0,overload
284,14.2,1.963,0.5631,0.4037,10000.0,overload
285,14.25,1.9628,0.5633,0.4034,10000.0,overload
286,14.3,1.9626,0.5634,0.4031,10000.0,overload
287,14.35,1.9624,0.5636,0.4028,10000.0,overload
288,14.4,1.9622,0.5638,0.4025,10000.0,overload
289,14.45,1.962,0.564,0.4022,10000.0,overload
290,14.5,1.9618,0.5642,0.4019,10000.0,overload
291,14.55,1.9616,0.5643,0.4016,10000.0,overload
292,14.6,1.9614,0.5645,0.4013,10000.0,overload
293,14.65,1.9612,0.5647,0.401,10000.0,overload
294,14.7,1.961,0.5649,0.4007,10000.0,overload
295,14.75,1.9608,0.5651,0.4004,10000.0,overload
296,14.8,1.9606,0.5652,0.4001,10000.0,overload
297,14.85,1.9604,0.5654,0.3998,10000.0,overload
298,14.9,1.9602,0.5656,0.3995,10000.0,overload
299,14.95,1.96,0.5658,0.3992,10000.0,overload
300,15.0,1.9598,0.5659,0.3989,10000.0,overload
