step,t,phi_infect,c_immune,c_endo,c_renal,c_cardiac,c_total,psi,Ms,regime
112,5.6,2.6138,1.3737,0.7207,0.5868,0.5549,3.236,62.855,20.2681,overload
113,5.65,2.5978,1.382,0.7241,0.5878,0.5556,3.2495,66.1708,20.7681,overload
114,5.7,2.5819,1.3902,0.7275,0.5888,0.5563,3.2629,69.6625,21.2681,overload
115,5.75,2.5661,1.3984,0.731,0.5898,0.557,3.2762,73.3406,21.7681,overload
116,5.8,2.5506,1.4065,0.7345,0.5909,0.5576,3.2895,77.216,22.2681,overload
117,5.85,2.5351,1.4146,0.738,0.5919,0.5583,3.3028,81.3006,22.7681,overload
118,5.9,2.5199,1.4225,0.7415,0.5929,0.559,3.316,85.6067,23.2681,overload
119,5.95,2.5047,1.4304,0.7451,0.594,0.5597,3.3292,90.1474,23.7681,overload
120,6.0,2.4898,1.4382,0.7486,0.595,0.5604,3.3423,94.9366,24.2681,overload
121,6.05,2.4749,1.446,0.7522,0.5961,0.5611,3.3554,99.989,24.7681,overload
122,6.1,2.4603,1.4536,0.7558,0.5971,0.5618,3.3685,105.3201,25.2681,overload
123,6.15,2.4457,1.4612,0.7595,0.5982,0.5626,3.3815,110.9464,25.7681,overload
124,6.2,2.4313,1.4688,0.7631,0.5993,0.5633,3.3945,116.8854,26.2681,overload
125,6.25,2.4171,1.4762,0.7668,0.6004,0.564,3.4074,123.1556,26.7681,overload
126,6.3,2.403,1.4836,0.7705,0.6015,0.5647,3.4203,129.7764,27.2681,overload
127,6.35,2.389,1.491,0.7742,0.6026,0.5655,3.4332,136.7688,27.7681,overload
128,6.4,2.3752,1.4982,0.7779,0.6037,0.5662,3.446,144.1547,28.2681,overload
129,6.45,2.3615,1.5054,0.7816,0.6048,0.567,3.4588,151.9574,28.7681,overload
130,6.5,2.348,1.5126,0.7854,0.6059,0.5677,3.4716,160.2016,29.2681,overload
131,6.55,2.3346,1.5196,0.7892,0.607,0.5685,3.4843,168.9135,29.7681,overload
132,6.6,2.3213,1.5266,0.7929,0.6082,0.5692,3.497,178.1208,30.2681,overload
133,6.65,2.3081,1.5336,0.7968,0.6093,0.57,3.5096,187.8531,30.7681,overload
134,6.7,2.2951,1.5405,0.8006,0.6104,0.5708,3.5223,198.1415,31.2681,overload
135,6.75,2.2822,1.5473,0.8044,0.6116,0.5716,3.5348,209.0191,31.7681,overload
136,6.8,2.2695,1.554,0.8083,0.6127,0.5723,3.5474,220.5211,32.2681,overload
137,6.85,2.2569,1.5607,0.8122,0.6139,0.5731,3.5599,232.1899,32.7681,overload
138,6.9,2.2443,1.5674,0.816,0.6151,0.5739,3.5724,243.9544,33.2681,overload
139,6.95,2.232,1.5739,0.8199,0.6163,0.5747,3.5849,255.8108,33.7681,overload
140,7.0,2.2197,1.5805,0.8239,0.6174,0.5755,3.5973,267.7554,34.2681,overload
141,7.05,2.2076,1.5869,0.8278,0.6186,0.5763,3.6097,279.7847,34.7681,overload
142,7.1,2.1956,1.5933,0.8318,0.6198,0.5772,3.6221,291.8954,35.2681,overload
143,7.15,2.1837,1.5997,0.8357,0.621,0.578,3.6344,304.0841,35.7681,overload
144,7.2,2.1719,1.606,0.8397,0.6223,0.5788,3.6467,316.3476,36.2681,overload
145,7.25,2.1602,1.6122,0.8437,0.6235,0.5796,3.659,328.6829,36.7681,overload
146,7.3,2.1487,1.6184,0.8477,0.6247,0.5805,3.6713,341.087,37.2681,overload
147,7.35,2.1372,1.6245,0.8517,0.6259,0.5813,3.6835,353.557,37.7681,overload
148,7.4,2.1259,1.6306,0.8558,0.6272,0.5822,3.6957,366.0902,38.2681,overload
149,7.45,2.1147,1.6366,0.8598,0.6284,0.583,3.7078,378.6838,38.7681,overload
150,7.5,2.1036,1.6425,0.8639,0.6297,0.5839,3.72,391.3354,39.2681,overload
151,7.55,2.0927,1.6484,0.868,0.6309,0.5847,3.7321,404.0424,39.7681,overload
152,7.6,2.0818,1.6543,0.8721,0.6322,0.5856,3.7442,416.8024,40.2681,overload
153,7.65,2.071,1.6601,0.8762,0.6335,0.5865,3.7563,429.6131,40.7681,overload
154,7.7,2.0604,1.6658,0.8803,0.6348,0.5874,3.7683,442.4722,41.2681,overload
155,7.75,2.0498,1.6715,0.8844,0.6361,0.5883,3.7803,455.3776,41.7681,overload
156,7.8,2.0394,1.6772,0.8886,0.6374,0.5891,3.7923,468.3273,42.2681,overload
157,7.85,2.029,1.6828,0.8928,0.6387,0.59,3.8043,481.3191,42.7681,overload
158,7.9,2.0188,1.6883,0.8969,0.64,0.5909,3.8162,494.3512,43.2681,overload
159,7.95,2.0086,1.6938,0.9011,0.6413,0.5919,3.8281,507.4218,43.7681,overload
160,8.0,1.9986,1.6993,0.9053,0.6427,0.5928,3.84,520.5289,44.2681,overload
161,8.05,1.9887,1.7047,0.9095,0.644,0.5937,3.8519,533.6709,44.7681,overload
162,8.1,1.9788,1.7101,0.9137,0.6453,0.5946,3.8637,546.8461,45.2681,overload
163,8.15,1.9691,1.7154,0.918,0.6467,0.5955,3.8756,560.0529,45.7681,overload
164,8.2,1.9595,1.7206,0.9222,0.648,0.5965,3.8874,573.2898,46.2681,overload
165,8.25,1.9499,1.7259,0.9265,0.6494,0.5974,3.8992,586.5552,46.7681,overload
166,8.3,1.9405,1.731,0.9307,0.6508,0.5984,3.9109,599.8478,47.2681,overload
167,8.35,1.9311,1.7362,0.935,0.6522,0.5993,3.9227,613.1662,47.7681,overload
168,8.4,1.9218,1.7412,0.9393,0.6536,0.6003,3.9344,626.509,48.2681,overload
169,8.45,1.9127,1.7463,0.9436,0.655,0.6012,3.9461,639.8749,48.7681,overload
170,8.5,1.9036,1.7513,0.9479,0.6564,0.6022,3.9578,653.2629,49.2681,overload
171,8.55,1.8946,1.7562,0.9522,0.6578,0.6032,3.9694,666.6716,49.7681,overload
172,8.6,1.8857,1.7611,0.9566,0.6592,0.6042,3.9811,680.0999,50.2681,overload
173,8.65,1.8769,1.766,0.9609,0.6606,0.6052,3.9927,693.5469,50.7681,overload
174,8.7,1.8682,1.7708,0.9653,0.6621,0.6062,4.0043,707.0114,51.2681,overload
175,8.75,1.8595,1.7756,0.9696,0.6635,0.6072,4.0159,720.4925,51.7681,overload
176,8.8,1.851,1.7803,0.974,0.6649,0.6082,4.0274,733.9891,52.2681,overload
177,8.85,1.8425,1.785,0.9784,0.6664,0.6092,4.039,747.5005,52.7681,overload
178,8.9,1.8341,1.7897,0.9828,0.6679,0.6102,4.0505,761.0257,53.2681,overload
179,8.95,1.8258,1.7943,0.9872,0.6693,0.6112,4.062,774.5639,53.7681,overload
180,9.0,1.8176,1.7989,0.9916,0.6708,0.6122,4.0735,788.1143,54.2681,overload
181,9.05,1.8095,1.8034,0.996,0.6723,0.6133,4.085,801.6761,54.7681,overload
182,9.1,1.8014,1.8079,1.0004,0.6738,0.6143,4.0965,815.2487,55.2681,overload
183,9.15,1.7934,1.8124,1.0049,0.6753,0.6154,4.1079,828.8312,55.7681,overload
184,9.2,1.7855,1.8168,1.0093,0.6768,0.6164,4.1194,842.4232,56.2681,overload
185,9.25,1.7777,1.8212,1.0138,0.6783,0.6175,4.1308,856.0238,56.7681,overload
186,9.3,1.77,1.8256,1.0182,0.6799,0.6185,4.1422,869.6327,57.2681,overload
187,9.35,1.7623,1.8299,1.0227,0.6814,0.6196,4.1536,883.249,57.7681,overload
188,9.4,1.7547,1.8341,1.0272,0.683,0.6207,4.165,896.8724,58.2681,overload
189,9.45,1.7472,1.8384,1.0317,0.6845,0.6218,4.1763,910.5024,58.7681,overload
190,9.5,1.7398,1.8426,1.0362,0.6861,0.6229,4.1877,924.1383,59.2681,overload
191,9.55,1.7324,1.8467,1.0407,0.6876,0.624,4.199,937.7798,59.7681,overload
192,9.6,1.7251,1.8509,1.0452,0.6892,0.6251,4.2103,951.4265,60.2681,overload
193,9.65,1.7179,1.855,1.0497,0.6908,0.6262,4.2216,965.0779,60.7681,overload
194,9.7,1.7108,1.859,1.0542,0.6924,0.6273,4.2329,978.7336,61.2681,overload
195,9.75,1.7037,1.8631,1.0587,0.694,0.6284,4.2442,992.3933,61.7681,overload
196,9.8,1.6967,1.8671,1.0633,0.6956,0.6295,4.2554,1006.0567,62.2681,overload
197,9.85,1.6898,1.871,1.0678,0.6972,0.6306,4.2667,1019.7233,62.7681,overload
198,9.9,1.6829,1.8749,1.0724,0.6988,0.6318,4.2779,1033.393,63.2681,overload
199,9.95,1.6761,1.8788,1.077,0.7004,0.6329,4.2892,1047.0654,63.7681,overload
200,10.0,1.6694,1.8827,1.0815,0.7021,0.6341,4.3004,1060.7403,64.2681,overload
201,10.05,1.6627,1.8865,1.0861,0.7037,0.6352,4.3116,1074.4174,64.7681,overload
202,10.1,1.6561,1.8903,1.0907,0.7054,0.6364,4.3228,1088.0965,65.2681,overload
203,10.15,1.6496,1.8941,1.0953,0.707,0.6375,4.334,1101.7775,65.7681,overload
204,10.2,1.6431,1.8978,1.0999,0.7087,0.6387,4.3451,1115.46,66.2681,overload
205,10.25,1.6367,1.9015,1.1045,0.7104,0.6399,4.3563,1129.144,66.7681,overload
206,10.3,1.6304,1.9052,1.1091,0.7121,0.6411,4.3674,1142.8292,67.2681,overload
207,10.35,1.6241,1.9088,1.1137,0.7138,0.6423,4.3786,1156.5156,67.7681,overload
208,10.4,1.6179,1.9124,1.1183,0.7155,0.6435,4.3897,1170.203,68.2681,overload
209,10.45,1.6118,1.916,1.123,0.7172,0.6447,4.4008,1183.8912,68.7681,overload
210,10.5,1.6057,1.9196,1.1276,0.7189,0.6459,4.4119,1197.5803,69.2681,overload
211,10.55,1.5997,1.9231,1.1322,0.7206,0.6471,4.423,1211.27,69.7681,overload
212,10.6,1.5937,1.9266,1.1369,0.7224,0.6483,4.4341,1224.9604,70.2681,overload
213,10.65,1.5878,1.93,1.1415,0.7241,0.6495,4.4452,1238.6514,70.7681,overload
214,10.7,1.5819,1.9335,1.1462,0.7258,0.6508,4.4563,1252.3428,71.2681,overload
215,10.75,1.5761,1.9369,1.1509,0.7276,0.652,4.4673,1266.0348,71.7681,overload
216,10.8,1.5704,1.9402,1.1555,0.7294,0.6532,4.4784,1279.7272,72.2681,overload
217,10.85,1.5647,1.9436,1.1602,0.7311,0.6545,4.4894,1293.42,72.7681,overload
218,10.9,1.5591,1.9469,1.1649,0.7329,0.6558,4.5005,1307.1132,73.2681,overload
219,10.95,1.5536,1.9502,1.1696,0.7347,0.657,4.5115,1320.8068,73.7681,overload
220,11.0,1.5481,1.9535,1.1743,0.7365,0.6583,4.5225,1334.5009,74.2681,overload
221,11.05,1.5426,1.9567,1.179,0.7383,0.6596,4.5336,1348.1953,74.7681,overload
222,11.1,1.5372,1.9599,1.1837,0.7401,0.6608,4.5446,1361.8903,75.2681,overload
223,11.15,1.5319,1.9631,1.1884,0.742,0.6621,4.5556,1375.5858,75.7681,overload
224,11.2,1.5266,1.9663,1.1931,0.7438,0.6634,4.5666,1389.2818,76.2681,overload
225,11.25,1.5213,1.9694,1.1978,0.7456,0.6647,4.5775,1402.9785,76.7681,overload
226,11.3,1.5161,1.9725,1.2025,0.7475,0.666,4.5885,1416.6758,77.2681,overload
227,11.35,1.511,1.9756,1.2072,0.7493,0.6673,4.5995,1430.3738,77.7681,overload
228,11.4,1.5059,1.9787,1.212,0.7512,0.6687,4.6105,1444.0726,78.2681,overload
229,11.45,1.5009,1.9817,1.2167,0.7531,0.67,4.6214,1457.7723,78.7681,overload
230,11.5,1.4959,1.9847,1.2214,0.7549,0.6713,4.6324,1471.473,79.2681,overload
231,11.55,1.491,1.9877,1.2262,0.7568,0.6726,4.6433,1485.1747,79.7681,overload
232,11.6,1.4861,1.9907,1.2309,0.7587,0.674,4.6543,1498.8776,80.2681,overload
233,11.65,1.4812,1.9936,1.2357,0.7606,0.6753,4.6652,1512.5817,80.7681,overload
234,11.7,1.4765,1.9965,1.2404,0.7625,0.6767,4.6762,1526.2872,81.2681,overload
235,11.75,1.4717,1.9994,1.2452,0.7644,0.678,4.6871,1539.9941,81.7681,overload
236,11.8,1.467,2.0023,1.25,0.7664,0.6794,4.698,1553.7026,82.2681,overload
237,11.85,1.4624,2.0051,1.2547,0.7683,0.6808,4.7089,1567.4129,82.7681,overload
238,11.9,1.4578,2.0079,1.2595,0.7702,0.6822,4.7198,1581.1249,83.2681,overload
239,11.95,1.4532,2.0107,1.2643,0.7722,0.6836,4.7308,1594.8389,83.7681,overload
240,12.0,1.4487,2.0135,1.269,0.7742,0.6849,4.7417,1608.555,84.2681,overload
241,12.05,1.4442,2.0163,1.2738,0.7761,0.6863,4.7526,1622.2734,84.7681,overload
242,12.1,1.4398,2.019,1.2786,0.7781,0.6877,4.7635,1635.9941,85.2681,overload
243,12.15,1.4354,2.0217,1.2834,0.7801,0.6892,4.7743,1649.7173,85.7681,overload
244,12.2,1.4311,2.0244,1.2882,0.7821,0.6906,4.7852,1663.4431,86.2681,overload
245,12.25,1.4268,2.0271,1.293,0.7841,0.692,4.7961,1677.1717,86.7681,overload
246,12.3,1.4226,2.0297,1.2978,0.7861,0.6934,4.807,1690.9033,87.2681,overload
247,12.35,1.4184,2.0324,1.3026,0.7881,0.6948,4.8179,1704.638,87.7681,overload
248,12.4,1.4142,2.035,1.3074,0.7901,0.6963,4.8288,1718.3759,88.2681,overload
249,12.45,1.4101,2.0376,1.3122,0.7922,0.6977,4.8396,1732.1172,88.7681,overload
250,12.5,1.406,2.0401,1.317,0.7942,0.6992,4.8505,1745.8621,89.2681,overload
251,12.55,1.402,2.0427,1.3218,0.7962,0.7006,4.8614,1759.6108,89.7681,overload
252,12.6,1.398,2.0452,1.3266,0.7983,0.7021,4.8722,1773.3633,90.2681,overload
253,12.65,1.394,2.0477,1.3314,0.8004,0.7036,4.8831,1787.1198,90.7681,overload
254,12.7,1.3901,2.0502,1.3362,0.8024,0.7051,4.8939,1800.8806,91.2681,overload
255,12.75,1.3862,2.0527,1.3411,0.8045,0.7065,4.9048,1814.6457,91.7681,overload
256,12.8,1.3824,2.0551,1.3459,0.8066,0.708,4.9156,1828.4154,92.2681,overload
257,12.85,1.3786,2.0576,1.3507,0.8087,0.7095,4.9265,1842.1898,92.7681,overload
258,12.9,1.3748,2.06,1.3555,0.8108,0.711,4.9373,1855.9691,93.2681,overload
259,12.95,1.3711,2.0624,1.3604,0.8129,0.7125,4.9482,1869.7534,93.7681,overload
260,13.0,1.3674,2.0647,1.3652,0.815,0.714,4.959,1883.543,94.2681,overload
261,13.05,1.3637,2.0671,1.37,0.8172,0.7156,4.9699,1897.3379,94.7681,overload
262,13.1,1.3601,2.0694,1.3749,0.8193,0.7171,4.9807,1911.1384,95.2681,overload
263,13.15,1.3565,2.0718,1.3797,0.8214,0.7186,4.9916,1924.9446,95.7681,overload
264,13.2,1.353,2.0741,1.3846,0.8236,0.7202,5.0024,1938.7567,96.2681,overload
265,13.25,1.3495,2.0763,1.3894,0.8258,0.7217,5.0132,1952.5749,96.7681,overload
266,13.3,1.346,2.0786,1.3943,0.8279,0.7233,5.0241,1966.3994,97.2681,overload
267,13.35,1.3425,2.0809,1.3991,0.8301,0.7248,5.0349,1980.2302,97.7681,overload
268,13.4,1.3391,2.0831,1.404,0.8323,0.7264,5.0457,1994.0676,98.2681,overload
269,13.45,1.3358,2.0853,1.4088,0.8345,0.7279,5.0566,2007.9118,98.7681,overload
270,13.5,1.3324,2.0875,1.4137,0.8367,0.7295,5.0674,2021.7629,99.2681,overload
271,13.55,1.3291,2.0897,1.4185,0.8389,0.7311,5.0782,2035.6211,99.7681,overload
272,13.6,1.3258,2.0919,1.4234,0.8411,0.7327,5.0891,2049.4866,100.2681,overload
273,13.65,1.3226,2.094,1.4282,0.8433,0.7343,5.0999,2063.3594,100.7681,overload
274,13.7,1.3194,2.0962,1.4331,0.8456,0.7359,5.1107,2077.2399,101.2681,overload
275,13.75,1.3162,2.0983,1.438,0.8478,0.7375,5.1215,2091.1281,101.7681,overload
276,13.8,1.3131,2.1004,1.4428,0.8501,0.7391,5.1324,2105.0243,102.2681,overload
277,13.85,1.3099,2.1025,1.4477,0.8523,0.7407,5.1432,2118.9286,102.7681,overload
278,13.9,1.3069,2.1046,1.4526,0.8546,0.7423,5.154,2132.8411,103.2681,overload
279,13.95,1.3038,2.1066,1.4574,0.8569,0.744,5.1649,2146.762,103.7681,overload
280,14.0,1.3008,2.1087,1.4623,0.8591,0.7456,5.1757,2160.6916,104.2681,overload
281,14.05,1.2978,2.1107,1.4672,0.8614,0.7472,5.1865,2174.6298,104.7681,overload
282,14.1,1.2948,2.1127,1.472,0.8637,0.7489,5.1973,2188.577,105.2681,overload
283,14.15,1.2919,2.1147,1.4769,0.866,0.7505,5.2082,2202.5332,105.7681,overload
