step,psi_adaptive,psi_control,S_adaptive,Ms_adaptive
18.2,2056.4527,303627.2809,57.2403,64.9787
18.25,2068.3315,305785.3904,57.5613,65.322
18.3,2080.2688,308260.4172,57.8831,65.6661
18.35,2092.2731,310429.3454,58.2058,66.0109
18.400000000000002,2104.3259,312928.3915,58.5293,66.3565
18.45,2116.4473,315113.9846,58.8538,66.7029
18.5,2128.6112,317636.2395,59.1791,67.0501
18.55,2140.8389,319839.032,59.5053,67.3982
18.6,2153.1115,322389.1567,59.8322,67.7471
18.650000000000002,2165.4392,324602.9865,60.16,68.0969
18.7,2177.8181,327177.0347,60.4887,68.4475
18.75,2190.2438,329407.5245,60.8182,68.799
18.8,2202.7175,332005.0493,61.1486,69.1514
18.85,2215.2239,334252.3793,61.4796,69.5046
18.900000000000002,2227.7731,336877.2187,61.8116,69.8586
18.95,2240.3486,339137.1145,62.1441,70.2135
19.0,2252.9675,341785.7861,62.4774,70.5692
19.05,2265.6102,344062.3433,62.8114,70.9258
19.1,2278.2987,346734.7553,63.1461,71.2832
19.150000000000002,2291.0051,349027.9796,63.4816,71.6414
19.200000000000003,2303.7458,351724.2154,63.8178,72.0004
19.25,2316.5098,354035.3313,64.155,72.3601
19.3,2329.3029,356759.6718,64.4928,72.7206
19.35,2342.1196,359080.8314,64.8316,73.0817
19.400000000000002,2354.9675,361830.4027,65.1712,73.4437
19.450000000000003,2367.8341,364168.2258,65.5117,73.8064
19.5,2380.7328,366941.8931,65.8531,74.1698
19.55,2393.6355,369297.3508,66.1954,74.5342
19.6,2406.5796,372099.795,66.5387,74.8993
19.650000000000002,2419.5206,374465.4012,66.8827,75.2654
19.700000000000003,2432.4996,377293.0961,67.2277,75.6323
19.75,2445.4718,379675.3628,67.5734,76.0001
19.8,2458.4725,382527.4279,67.92,76.3688
19.85,2471.4677,384927.098,68.2674,76.7382
19.900000000000002,2484.4835,387808.5906,68.6155,77.1087
19.950000000000003,2497.4975,390218.4873,68.9644,77.4799
20.0,2510.5291,393125.2777,69.314,77.852
20.05,2523.5534,395551.8324,69.6644,78.2249
20.1,2536.5949,398483.2691,70.0153,78.5986
20.150000000000002,2549.6308,400927.0277,70.367,78.9731
20.200000000000003,2562.6875,403888.5155,70.7193,79.3484
20.25,2575.7426,406342.5461,71.0724,79.7244
20.3,2588.8236,409329.412,71.4263,80.1012
20.35,2601.9049,411800.0986,71.781,80.4787
20.400000000000002,2615.0193,414811.8888,72.1366,80.8568
