step,t,psi_sensitive,psi_resistant,drug_on,regime_sensitive,regime_resistant
394,15.76,10000.0,10000.0,False,overload,overload
395,15.8,10000.0,10000.0,False,overload,overload
396,15.84,10000.0,10000.0,False,overload,overload
397,15.88,10000.0,10000.0,False,overload,overload
398,15.92,10000.0,10000.0,False,overload,overload
399,15.96,10000.0,10000.0,False,overload,overload
400,16.0,10000.0,10000.0,False,overload,overload
401,16.04,10000.0,10000.0,False,overload,overload
402,16.08,10000.0,10000.0,False,overload,overload
403,16.12,10000.0,10000.0,False,overload,overload
404,16.16,10000.0,10000.0,False,overload,overload
405,16.2,10000.0,10000.0,False,overload,overload
406,16.24,10000.0,10000.0,False,overload,overload
407,16.28,10000.0,10000.0,False,overload,overload
408,16.32,10000.0,10000.0,False,overload,overload
409,16.36,10000.0,10000.0,False,overload,overload
410,16.4,10000.0,10000.0,False,overload,overload
411,16.44,10000.0,10000.0,False,overload,overload
412,16.48,10000.0,10000.0,False,overload,overload
413,16.52,10000.0,10000.0,False,overload,overload
414,16.56,10000.0,10000.0,False,overload,overload
415,16.6,10000.0,10000.0,False,overload,overload
416,16.64,10000.0,10000.0,False,overload,overload
417,16.68,10000.0,10000.0,False,overload,overload
418,16.72,10000.0,10000.0,False,overload,overload
419,16.76,10000.0,10000.0,False,overload,overload
420,16.8,10000.0,10000.0,False,overload,overload
421,16.84,10000.0,10000.0,False,overload,overload
422,16.88,10000.0,10000.0,False,overload,overload
423,16.92,10000.0,10000.0,False,overload,overload
424,16.96,10000.0,10000.0,False,overload,overload
425,17.0,10000.0,10000.0,False,overload,overload
426,17.04,10000.0,10000.0,False,overload,overload
427,17.08,10000.0,10000.0,False,overload,overload
428,17.12,10000.0,10000.0,False,overload,overload
429,17.16,10000.0,10000.0,False,overload,overload
430,17.2,10000.0,10000.0,False,overload,overload
431,17.24,10000.0,10000.0,False,overload,overload
432,17.28,10000.0,10000.0,False,overload,overload
433,17.32,10000.0,10000.0,False,overload,overload
434,17.36,10000.0,10000.0,False,overload,overload
435,17.4,10000.0,10000.0,False,overload,overload
436,17.44,10000.0,10000.0,False,overload,overload
437,17.48,10000.0,10000.0,False,overload,overload
438,17.52,10000.0,10000.0,False,overload,overload
439,17.56,10000.0,10000.0,False,overload,overload
440,17.6,10000.0,10000.0,False,overload,overload
441,17.64,10000.0,10000.0,False,overload,overload
442,17.68,10000.0,10000.0,False,overload,overload
443,17.72,10000.0,10000.0,False,overload,overload
444,17.76,10000.0,10000.0,False,overload,overload
445,17.8,10000.0,10000.0,False,overload,overload
446,17.84,10000.0,10000.0,False,overload,overload
447,17.88,10000.0,10000.0,False,overload,overload
448,17.92,10000.0,10000.0,False,overload,overload
449,17.96,10000.0,10000.0,False,overload,overload
450,18.0,10000.0,10000.0,False,overload,overload
451,18.04,10000.0,10000.0,False,overload,overload
452,18.08,10000.0,10000.0,False,overload,overload
453,18.12,10000.0,10000.0,False,overload,overload
454,18.16,10000.0,10000.0,False,overload,overload
455,18.2,10000.0,10000.0,False,overload,overload
456,18.24,10000.0,10000.0,False,overload,overload
457,18.28,10000.0,10000.0,False,overload,overload
458,18.32,10000.0,10000.0,False,overload,overload
459,18.36,10000.0,10000.0,False,overload,overload
460,18.4,10000.0,10000.0,False,overload,overload
461,18.44,10000.0,10000.0,False,overload,overload
462,18.48,10000.0,10000.0,False,overload,overload
463,18.52,10000.0,10000.0,False,overload,overload
464,18.56,10000.0,10000.0,False,overload,overload
465,18.6,10000.0,10000.0,False,overload,overload
466,18.64,10000.0,10000.0,False,overload,overload
467,18.68,10000.0,10000.0,False,overload,overload
468,18.72,10000.0,10000.0,False,overload,overload
469,18.76,10000.0,10000.0,False,overload,overload
470,18.8,10000.0,10000.0,False,overload,overload
471,18.84,10000.0,10000.0,False,overload,overload
