step,t,mean_psi,std_psi,donor_species
485,19.4,10000.0,0.0,0
486,19.44,10000.0,0.0,0
487,19.48,10000.0,0.0,0
488,19.52,10000.0,0.0,0
489,19.56,10000.0,0.0,0
490,19.6,10000.0,0.0,0
491,19.64,10000.0,0.0,0
492,19.68,10000.0,0.0,0
493,19.72,10000.0,0.0,0
494,19.76,10000.0,0.0,0
495,19.8,10000.0,0.0,0
496,19.84,10000.0,0.0,0
497,19.88,10000.0,0.0,0
498,19.92,10000.0,0.0,0
499,19.96,10000.0,0.0,0
