step,t,mean_Vm,mean_C_mem,mean_psi,pacemaker_Vm
437,17.48,-62.8,1.2991,32635.1215,-11.898
438,17.52,-62.8,1.2989,32749.743,-12.0026
439,17.56,-62.8,1.2987,32864.6148,-12.1046
440,17.6,-62.8,1.2985,32979.7348,-12.2042
441,17.64,-62.8,1.2983,33095.101,-12.3015
442,17.68,-62.8,1.2981,33210.7117,-12.3965
443,17.72,-62.8,1.2979,33326.5657,-12.4893
444,17.76,-62.8,1.2977,33442.6618,-12.5801
445,17.8,-62.8,1.2975,33558.9991,-12.6689
446,17.84,-62.8,1.2973,33675.5769,-12.7557
447,17.88,-62.8,1.2971,33792.3947,-12.8407
448,17.92,-62.8,1.2969,33909.4521,-12.9238
449,17.96,-62.8,1.2967,34026.7489,-13.0052
450,18.0,-62.8,1.2965,34144.2851,-13.0849
451,18.04,-62.8,1.2963,34262.0607,-13.163
452,18.08,-62.8,1.2961,34380.0758,-13.2395
453,18.12,-62.8,1.2959,34498.3309,-13.3145
454,18.16,-62.8,1.2957,34616.8261,-13.3881
455,18.2,-62.8,1.2955,34735.562,-13.4602
456,18.24,-62.8,1.2953,34854.5392,-13.531
457,18.28,-62.8,1.2951,34973.7581,-13.6005
458,18.32,-62.8,1.2949,35093.2195,-13.6687
459,18.36,-62.8,1.2947,35212.9242,-13.7356
460,18.4,-62.8,1.2945,35332.8728,-13.8014
461,18.44,-62.8,1.2944,35453.0662,-13.866
462,18.48,-62.8,1.2942,35573.5053,-13.9295
463,18.52,-62.8,1.294,35694.1909,-13.992
464,18.56,-62.8,1.2938,35815.124,-14.0534
465,18.6,-62.8,1.2936,35936.3056,-14.1138
466,18.64,-62.8,1.2934,36057.7366,-14.1732
467,18.68,-62.8,1.2932,36179.418,-14.2317
468,18.72,-62.8,1.293,36301.3509,-14.2893
469,18.76,-62.8,1.2929,36423.5364,-14.346
470,18.8,-62.8,1.2927,36545.9754,-14.4018
471,18.84,-62.8,1.2925,36668.6691,-14.4568
472,18.88,-62.8,1.2923,36791.6185,-14.5111
473,18.92,-62.8,1.2921,36914.8247,-14.5645
474,18.96,-62.8,1.2919,37038.2888,-14.6172
475,19.0,-62.8,1.2918,37162.0119,-14.6692
476,19.04,-62.8,1.2916,37285.9951,-14.7205
477,19.08,-62.8,1.2914,37410.2395,-14.7711
478,19.12,-62.8,1.2912,37534.7462,-14.821
479,19.16,-62.8,1.291,37659.5163,-14.8703
480,19.2,-62.74,1.2907,39008.1557,-14.1286
481,19.24,-62.68,1.2903,40409.8578,-13.3955
482,19.28,-62.62,1.29,41866.6369,-12.6707
483,19.32,-62.56,1.2896,43380.5853,-11.954
484,19.36,-62.5,1.2893,44953.8767,-11.2451
485,19.4,-62.44,1.2889,46588.7684,-10.5436
486,19.44,-62.38,1.2886,48287.6046,-9.8494
487,19.48,-62.32,1.2883,50052.8195,-9.162
488,19.52,-62.26,1.2879,51886.9403,-8.4814
489,19.56,-62.2,1.2876,53792.5906,-7.8073
490,19.6,-62.14,1.2873,55772.4937,-7.1394
491,19.64,-62.08,1.287,57829.4763,-6.4775
492,19.68,-62.02,1.2866,59966.4723,-5.8214
493,19.72,-61.96,1.2863,62186.5261,-5.171
494,19.76,-61.9,1.286,64492.7971,-4.526
495,19.8,-61.84,1.2857,66888.5636,-3.8862
496,19.84,-61.78,1.2854,69377.2268,-3.2515
497,19.88,-61.72,1.2851,71962.3154,-2.6216
498,19.92,-61.66,1.2848,74647.4903,-1.9965
499,19.96,-61.6,1.2845,77436.549,-1.3759
500,20.0,-61.6,1.2842,77554.4545,-1.5502
501,20.04,-61.6,1.284,77673.1505,-1.7195
502,20.08,-61.6,1.2838,77792.5915,-1.884
503,20.12,-61.6,1.2836,77912.7367,-2.0438
504,20.16,-61.6,1.2834,78033.5494,-2.1993
505,20.2,-61.6,1.2832,78154.9963,-2.3504
506,20.24,-61.6,1.283,78277.0476,-2.4975
507,20.28,-61.6,1.2828,78399.6762,-2.6406
508,20.32,-61.6,1.2826,78522.858,-2.7799
