step,t,c_wildlife,c_host,psi_host,regime,phase
423,21.15,0.5548,0.5,10000.0,overload,stable
424,21.2,0.555,0.5,10000.0,overload,stable
425,21.25,0.5552,0.5,10000.0,overload,stable
426,21.3,0.5554,0.5,10000.0,overload,stable
427,21.35,0.5556,0.5,10000.0,overload,stable
428,21.4,0.5558,0.5,10000.0,overload,stable
429,21.45,0.556,0.5,10000.0,overload,stable
430,21.5,0.5562,0.5,10000.0,overload,stable
431,21.55,0.5564,0.5,10000.0,overload,stable
432,21.6,0.5566,0.5,10000.0,overload,stable
433,21.65,0.5568,0.5,10000.0,overload,stable
434,21.7,0.557,0.5,10000.0,overload,stable
435,21.75,0.5572,0.5,10000.0,overload,stable
436,21.8,0.5574,0.5,10000.0,overload,stable
437,21.85,0.5576,0.5,10000.0,overload,stable
438,21.9,0.5578,0.5,10000.0,overload,stable
439,21.95,0.558,0.5,10000.0,overload,stable
440,22.0,0.5582,0.5,10000.0,overload,stable
441,22.05,0.5584,0.5,10000.0,overload,stable
442,22.1,0.5586,0.5,10000.0,overload,stable
443,22.15,0.5588,0.5,10000.0,overload,stable
444,22.2,0.559,0.5,10000.0,overload,stable
445,22.25,0.5592,0.5,10000.0,overload,stable
446,22.3,0.5594,0.5,10000.0,overload,stable
447,22.35,0.5596,0.5,10000.0,overload,stable
448,22.4,0.5598,0.5,10000.0,overload,stable
449,22.45,0.56,0.5,10000.0,overload,stable
450,22.5,0.5602,0.5,10000.0,overload,stable
451,22.55,0.5604,0.5,10000.0,overload,stable
452,22.6,0.5606,0.5,10000.0,overload,stable
453,22.65,0.5608,0.5,10000.0,overload,stable
454,22.7,0.561,0.5,10000.0,overload,stable
455,22.75,0.5612,0.5,10000.0,overload,stable
456,22.8,0.5614,0.5,10000.0,overload,stable
457,22.85,0.5616,0.5,10000.0,overload,stable
458,22.9,0.5618,0.5,10000.0,overload,stable
459,22.95,0.562,0.5,10000.0,overload,stable
460,23.0,0.5622,0.5,10000.0,overload,stable
461,23.05,0.5624,0.5,10000.0,overload,stable
462,23.1,0.5626,0.5,10000.0,overload,stable
463,23.15,0.5628,0.5,10000.0,overload,stable
464,23.2,0.563,0.5,10000.0,overload,stable
465,23.25,0.5632,0.5,10000.0,overload,stable
466,23.3,0.5634,0.5,10000.0,overload,stable
467,23.35,0.5636,0.5,10000.0,overload,stable
468,23.4,0.5638,0.5,10000.0,overload,stable
469,23.45,0.564,0.5,10000.0,overload,stable
470,23.5,0.5642,0.5,10000.0,overload,stable
471,23.55,0.5644,0.5,10000.0,overload,stable
472,23.6,0.5646,0.5,10000.0,overload,stable
473,23.65,0.5648,0.5,10000.0,overload,stable
474,23.7,0.565,0.5,10000.0,overload,stable
475,23.75,0.5652,0.5,10000.0,overload,stable
476,23.8,0.5654,0.5,10000.0,overload,stable
477,23.85,0.5656,0.5,10000.0,overload,stable
478,23.9,0.5658,0.5,10000.0,overload,stable
479,23.95,0.566,0.5,10000.0,overload,stable
480,24.0,0.5662,0.5,10000.0,overload,stable
481,24.05,0.5664,0.5,10000.0,overload,stable
482,24.1,0.5666,0.5,10000.0,overload,stable
483,24.15,0.5668,0.5,10000.0,overload,stable
484,24.2,0.567,0.5,10000.0,overload,stable
485,24.25,0.5672,0.5,10000.0,overload,stable
486,24.3,0.5674,0.5,10000.0,overload,stable
487,24.35,0.5676,0.5,10000.0,overload,stable
488,24.4,0.5678,0.5,10000.0,overload,stable
489,24.45,0.568,0.5,10000.0,overload,stable
490,24.5,0.5682,0.5,10000.0,overload,stable
491,24.55,0.5684,0.5,10000.0,overload,stable
492,24.6,0.5686,0.5,10000.0,overload,stable
493,24.65,0.5688,0.5,10000.0,overload,stable
494,24.7,0.569,0.5,10000.0,overload,stable
495,24.75,0.5692,0.5,10000.0,overload,stable
496,24.8,0.5694,0.5,10000.0,overload,stable
497,24.85,0.5696,0.5,10000.0,overload,stable
498,24.9,0.5698,0.5,10000.0,overload,stable
499,24.95,0.57,0.5,10000.0,overload,stable
500,25.0,0.5702,0.5,10000.0,overload,stable
501,25.05,0.5704,0.5,10000.0,overload,stable
502,25.1,0.5706,0.5,10000.0,overload,stable
503,25.15,0.5708,0.5,10000.0,overload,stable
504,25.2,0.571,0.5,10000.0,overload,stable
505,25.25,0.5712,0.5,10000.0,overload,stable
506,25.3,0.5714,0.5,10000.0,overload,stable
507,25.35,0.5716,0.5,10000.0,overload,stable
508,25.4,0.5718,0.5,10000.0,overload,stable
509,25.45,0.572,0.5,10000.0,overload,stable
510,25.5,0.5722,0.5,10000.0,overload,stable
511,25.55,0.5724,0.5,10000.0,overload,stable
512,25.6,0.5726,0.5,10000.0,overload,stable
513,25.65,0.5728,0.5,10000.0,overload,stable
514,25.7,0.573,0.5,10000.0,overload,stable
515,25.75,0.5732,0.5,10000.0,overload,stable
516,25.8,0.5734,0.5,10000.0,overload,stable
517,25.85,0.5736,0.5,10000.0,overload,stable
518,25.9,0.5738,0.5,10000.0,overload,stable
519,25.95,0.574,0.5,10000.0,overload,stable
520,26.0,0.5742,0.5,10000.0,overload,stable
521,26.05,0.5744,0.5,10000.0,overload,stable
522,26.1,0.5746,0.5,10000.0,overload,stable
523,26.15,0.5748,0.5,10000.0,overload,stable
524,26.2,0.575,0.5,10000.0,overload,stable
525,26.25,0.5752,0.5,10000.0,overload,stable
526,26.3,0.5754,0.5,10000.0,overload,stable
527,26.35,0.5756,0.5,10000.0,overload,stable
528,26.4,0.5758,0.5,10000.0,overload,stable
529,26.45,0.576,0.5,10000.0,overload,stable
530,26.5,0.5762,0.5,10000.0,overload,stable
531,26.55,0.5764,0.5,10000.0,overload,stable
532,26.6,0.5766,0.5,10000.0,overload,stable
533,26.65,0.5768,0.5,10000.0,overload,stable
534,26.7,0.577,0.5,10000.0,overload,stable
535,26.75,0.5772,0.5,10000.0,overload,stable
536,26.8,0.5774,0.5,10000.0,overload,stable
537,26.85,0.5776,0.5,10000.0,overload,stable
538,26.9,0.5778,0.5,10000.0,overload,stable
539,26.95,0.578,0.5,10000.0,overload,stable
540,27.0,0.5782,0.5,10000.0,overload,stable
