scenario,t,flux_proxy_phi,constraint_proxy_C,responsiveness_S,memory_Ms,psi_s_proxy,constraint_signal,flux_decline_signal
early_disease,6.4,0.938379811503386,1.2807449184849697,0.943851016303006,1.0236794416343407,0.7079187961900256,1,1
early_disease,6.6000000000000005,0.9365438318777052,1.285483172493939,0.9429033655012122,1.0248964908495863,0.7040587561148025,1,1
early_disease,6.800000000000001,0.9347755206545313,1.290061908449411,0.9419876183101178,1.0261284561858985,0.7003960765511219,1,1
early_disease,7.0,0.933072491312866,1.2944666908183207,0.9411066618363358,1.0273744340858673,0.6969347316538251,1,1
early_disease,7.2,0.9314306551743592,1.2987180890404233,0.9402563821919153,1.0286336053327203,0.6936535866994432,1,1
early_disease,7.4,0.9298457451424469,1.3028309945122472,0.9394338010975506,1.0299052156756012,0.6905359063884525,1,1
early_disease,7.6000000000000005,0.9283169191278683,1.3067954922776166,0.9386409015444767,1.0311884630869952,0.6875846272890342,1,1
early_disease,7.800000000000001,0.9268446914968844,1.3106072809329694,0.9378785438134061,1.032482511195452,0.6847999107495326,1,1
early_disease,8.0,0.9254198510449854,1.3143480259304812,0.9371303948139038,1.033786835553962,0.6821179143937615,1,1
early_disease,8.200000000000001,0.9240373834980633,1.3179736313472221,0.9364052737305556,1.0351009189267384,0.6795624373404192,1,1
early_disease,8.4,0.9226956316818349,1.3214978367741148,0.935700432645177,1.0364241928173372,0.6771211515305706,1,1
early_disease,8.6,0.9213882758418109,1.324962316906279,0.9350075366187443,1.037756263269407,0.6747604664429158,1,1
early_disease,8.8,0.9201141883900407,1.3283421246756368,0.9343315750648726,1.0390966611147225,0.6724945319897733,1,1
early_disease,9.0,0.918869265935584,1.3316541183647044,0.9336691763270591,1.0404450294422163,0.6703080735566128,1,1
early_disease,9.200000000000001,0.9176500338756683,1.3349236472835542,0.9330152705432891,1.0418010415384644,0.6681811163183317,1,1
early_disease,9.4,0.9164567116065637,1.3380848116944593,0.9323830376611082,1.0431643158852235,0.6661551679776377,1,1
early_disease,9.600000000000001,0.9152860474319441,1.3412477870906854,0.9317504425818629,1.0445345480411365,0.6641562137551703,1,1
early_disease,9.8,0.9141329607440745,1.344357496655834,0.9311285006688332,1.0459115798102,0.6622152633742096,1,1
early_disease,10.0,0.9129957631946914,1.3474521104939168,0.9305095779012167,1.0472951818337821,0.6603062020706087,1,1
early_disease,10.200000000000001,0.9118698387201268,1.35051443570371,0.929897112859258,1.0486852620241136,0.6584361763731073,1,1
early_disease,10.4,0.9107544181044922,1.353567173816131,0.9292865652367738,1.0500816504748405,0.6565899051375916,1,1
early_disease,10.600000000000001,0.9096500639607004,1.3565640150734966,0.9286871969853007,1.0514841636468126,0.6547963597632547,1,1
early_disease,10.8,0.9085579099778217,1.3595483267792148,0.928090334644157,1.0528925654054213,0.6530287066656872,1,1
early_disease,11.0,0.9074739959006413,1.3625257838993454,0.9274948432201309,1.0543067930541403,0.6512803392201024,1,1
